date,tx_power_gas_mmcf_lag1,hh_spot_usd_mmbtu
2001-02-01,101920.0,5.7425
2001-03-01,87176.0,5.218
2001-04-01,100334.0,5.2275
2001-05-01,115391.0,4.285
2001-06-01,131842.0,3.722
2001-07-01,151710.0,3.085
2001-08-01,190037.0,2.994
2001-09-01,191478.0,2.1975
2001-10-01,135134.0,2.3625
2001-11-01,118063.0,2.4240000000000004
2001-12-01,91505.0,2.3075
2002-01-01,91523.0,2.3575
2002-02-01,105480.0,2.265
2002-03-01,90578.0,2.9539999999999997
2002-04-01,104754.0,3.4125
2002-05-01,116473.0,3.492
2002-06-01,125291.0,3.26
2002-07-01,156428.0,3.0025
2002-08-01,182218.0,3.0780000000000003
2002-09-01,190565.0,3.505
2002-10-01,148525.0,4.095
2002-11-01,124397.0,4.093999999999999
2002-12-01,103613.0,4.7575
2003-01-01,101970.0,5.368
2003-02-01,106379.0,7.6375
2003-03-01,100241.0,5.9775
2003-04-01,103485.0,5.2675
2003-05-01,101849.0,5.744
2003-06-01,141494.0,5.845000000000001
2003-07-01,143084.0,5.1175
2003-08-01,172747.0,4.936
2003-09-01,183393.0,4.625
2003-10-01,119762.0,4.6259999999999994
2003-11-01,103052.0,4.4875
2003-12-01,89312.0,6.155
2004-01-01,89060.0,6.056
2004-02-01,92080.0,5.3675
2004-03-01,90099.0,5.387499999999999
2004-04-01,98499.0,5.678
2004-05-01,103954.0,6.3325
2004-06-01,118578.0,6.3
2004-07-01,137272.0,5.956
2004-08-01,160095.0,5.445
2004-09-01,157525.0,4.97
2004-10-01,131609.0,6.268
2004-11-01,120125.0,6.0024999999999995
2004-12-01,89952.0,6.596000000000001
2005-01-01,94619.0,6.1625000000000005
2005-02-01,93970.0,6.115
2005-03-01,83671.0,6.92
2005-04-01,93732.0,7.154000000000001
2005-05-01,104415.0,6.48
2005-06-01,116656.0,7.12
2005-07-01,158003.0,7.545999999999999
2005-08-01,172564.0,9.217500000000001
2005-09-01,176753.0,11.785
2005-10-01,148199.0,13.535
2005-11-01,122115.0,10.305
2005-12-01,96564.0,12.716
2006-01-01,99620.0,8.735
2006-02-01,78499.0,7.699999999999999
2006-03-01,86729.0,6.884
2006-04-01,97292.0,7.1475
2006-05-01,115654.0,6.26
2006-06-01,134777.0,6.1979999999999995
2006-07-01,157909.0,5.9975000000000005
2006-08-01,175090.0,7.359999999999999
2006-09-01,193006.0,5.138
2006-10-01,128393.0,5.75
2006-11-01,114964.0,7.2825
2006-12-01,86706.0,6.862
2007-01-01,94640.0,6.359999999999999
2007-02-01,114061.0,7.9775
2007-03-01,94814.0,7.15
2007-04-01,111158.0,7.5925
2007-05-01,108357.0,7.635
2007-06-01,116795.0,7.398000000000001
2007-07-01,138403.0,6.2
2007-08-01,148330.0,6.234
2007-09-01,183051.0,6.0575
2007-10-01,145554.0,6.705
2007-11-01,121399.0,7.078
2007-12-01,94037.0,7.095
2008-01-01,97596.0,7.9025
2008-02-01,106781.0,8.482
2008-03-01,90713.0,9.375
2008-04-01,106719.0,10.057500000000001
2008-05-01,105567.0,11.24
2008-06-01,130779.0,12.6625
2008-07-01,162080.0,11.682500000000001
2008-08-01,174218.0,8.404
2008-09-01,170713.0,7.720000000000001
2008-10-01,112689.0,6.7700000000000005
2008-11-01,105092.0,6.68
2008-12-01,82654.0,5.8125
2009-01-01,92039.0,5.296
2009-02-01,91605.0,4.505
2009-03-01,75267.0,3.995
2009-04-01,98724.0,3.5525
2009-05-01,85807.0,3.7359999999999998
2009-06-01,116841.0,3.8
2009-07-01,160890.0,3.4299999999999997
2009-08-01,176648.0,3.175
2009-09-01,177512.0,2.885
2009-10-01,126914.0,3.932
2009-11-01,100313.0,3.62
2009-12-01,75108.0,5.2125
2010-01-01,101793.0,5.83
2010-02-01,108561.0,5.325
2010-03-01,99935.0,4.3575
2010-04-01,78244.0,4.006
2010-05-01,94977.0,4.1425
2010-06-01,118372.0,4.8
2010-07-01,140968.0,4.636
2010-08-01,150260.0,4.37
2010-09-01,180946.0,3.8949999999999996
2010-10-01,124090.0,3.496
2010-11-01,90456.0,3.68
2010-12-01,79635.0,4.234
2011-01-01,82213.0,4.5
2011-02-01,96470.0,4.1049999999999995
2011-03-01,92143.0,3.905
2011-04-01,79314.0,4.246
2011-05-01,103723.0,4.295
2011-06-01,113215.0,4.5925
2011-07-01,149403.0,4.402
2011-08-01,185185.0,4.0775
2011-09-01,201213.0,3.9
2011-10-01,135600.0,3.5625
2011-11-01,99575.0,3.2275
2011-12-01,89936.0,3.184
2012-01-01,108637.0,2.675
2012-02-01,106663.0,2.5275
2012-03-01,98584.0,2.2079999999999997
2012-04-01,111167.0,1.94
2012-05-01,132297.0,2.4175
2012-06-01,141302.0,2.444
2012-07-01,158225.0,2.9274999999999998
2012-08-01,171113.0,2.864
2012-09-01,178032.0,2.8475
2012-10-01,133771.0,3.3
2012-11-01,102192.0,3.53
2012-12-01,88702.0,3.3375
2013-01-01,94898.0,3.36
2013-02-01,106224.0,3.2824999999999998
2013-03-01,82836.0,3.7659999999999996
2013-04-01,90799.0,4.1525
2013-05-01,99035.0,4.066000000000001
2013-06-01,109357.0,3.825
2013-07-01,137766.0,3.64
2013-08-01,152173.0,3.432
2013-09-01,172570.0,3.6275
2013-10-01,143048.0,3.685
2013-11-01,108357.0,3.6380000000000003
2013-12-01,105182.0,4.2375
2014-01-01,115254.0,4.686
2014-02-01,107671.0,6.0
2014-03-01,94715.0,4.9275
2014-04-01,94692.0,4.6325
2014-05-01,99834.0,4.6
2014-06-01,111872.0,4.6
2014-07-01,131526.0,4.1375
2014-08-01,151814.0,3.8939999999999997
2014-09-01,171985.0,3.9175
2014-10-01,135001.0,3.7979999999999996
2014-11-01,118033.0,4.1225000000000005
2014-12-01,100467.0,3.51
2015-01-01,107524.0,3.012
2015-02-01,126489.0,2.875
2015-03-01,113522.0,2.8475
2015-04-01,127251.0,2.63
2015-05-01,117283.0,2.798
2015-06-01,122352.0,2.7824999999999998
2015-07-01,145182.0,2.836
2015-08-01,179372.0,2.78
2015-09-01,183710.0,2.675
2015-10-01,149420.0,2.37
2015-11-01,129548.0,2.0925
2015-12-01,108509.0,1.8725
2016-01-01,121199.0,2.278
2016-02-01,122753.0,2.0075
2016-03-01,105227.0,1.6975
2016-04-01,119813.0,1.9100000000000001
2016-05-01,117564.0,1.9224999999999999
2016-06-01,132444.0,2.4625
2016-07-01,151466.0,2.832
2016-08-01,170485.0,2.8
2016-09-01,174678.0,2.9899999999999998
2016-10-01,144410.0,2.9850000000000003
2016-11-01,111464.0,2.48
2016-12-01,94746.0,3.534
2017-01-01,89011.0,3.325
2017-02-01,85861.0,2.9125
2017-03-01,74362.0,2.85
2017-04-01,91146.0,3.105
2017-05-01,93553.0,3.1625
2017-06-01,109734.0,2.988
2017-07-01,145864.0,2.99
2017-08-01,182748.0,2.8925
2017-09-01,166870.0,2.9699999999999998
2017-10-01,121368.0,2.8775
2017-11-01,103598.0,3.0125
2017-12-01,84931.0,2.854
2018-01-01,110440.0,4.125
2018-02-01,123323.0,2.8025
2018-03-01,105899.0,2.684
2018-04-01,108287.0,2.8
2018-05-01,101037.0,2.785
2018-06-01,150012.0,2.952
2018-07-01,160952.0,2.8425000000000002
2018-08-01,208167.0,2.948
2018-09-01,189239.0,2.99
2018-10-01,151010.0,3.2775
2018-11-01,126829.0,4.037999999999999
2018-12-01,105850.0,3.965
2019-01-01,113249.0,3.125
2019-02-01,128961.0,2.7125
2019-03-01,104462.0,2.93
2019-04-01,116536.0,2.6500000000000004
2019-05-01,105065.0,2.636
2019-06-01,145840.0,2.4
2019-07-01,171990.0,2.38
2019-08-01,201489.0,2.222
2019-09-01,230057.0,2.5625
2019-10-01,189553.0,2.2725
2019-11-01,141418.0,2.648
2019-12-01,120458.0,2.2325
2020-01-01,131370.0,2.02
2020-02-01,129783.0,1.9175
2020-03-01,125705.0,1.7975
2020-04-01,124746.0,1.74
2020-05-01,114512.0,1.7440000000000002
2020-06-01,138805.0,1.6225
2020-07-01,167442.0,1.752
2020-08-01,212107.0,2.3025
2020-09-01,208324.0,1.9825
2020-10-01,159518.0,2.312
2020-11-01,141379.0,2.5775
2020-12-01,106204.0,2.6375
2021-01-01,110236.0,2.638
2021-02-01,113820.0,5.6975
